"View_Detail","Federal_Fiscal_Year","Region","State_Code","NEP_Name","Project_Name","Project_Description","Habitat_Description","Habitat_Type","Restoration_Technique","Donated_Land","Data_Unavailable","Total_Project_Cost","Project_Benefits","Activity_Name","Lead_Implementer","Partners","Main_Funding_Source","Site_Owner","Last_Updated_Date","NEP_Comments","HQ_Comments","HQ_Status","Region_Status","Author","Submitter_Email","PrimaryHabitat","SecondaryHabitat","EPA_Section_320","Acres","Miles","Latitude","Longitude","Feet","ID_Number","GeneralHabitat","GeneralActivity","BeforePhotoCredit","BeforePhotoCaption","DuringPhotoCredit","DuringPhotoCaption","AfterPhotoCredit","AfterPhotoCaption"
NA,1971,"Region 4","FL","Tampa Bay Estuary Program","Howard Frankland West","planting of red mangroves","","","planting of red mangroves","","","","","","FDNR","","","","","","","","","","","","",NA,0.01,NA,27.94169,-82.54922,NA,"E-001","Estuarine","Maintenance","","","","","",""
NA,1972,"Region 4","FL","Tampa Bay Estuary Program","Terra Ceia Bird Key","planting of red, black, and white mangroves","","","planting of red, black, and white mangroves","","","","","","FDNR","","","","","","","","","","","","",NA,0,NA,27.61633,-82.56563,NA,"E-002","Estuarine","Maintenance","","","","","",""
NA,1973,"Region 4","FL","Tampa Bay Estuary Program","Mullet Key","planting of red, black, and white mangroves","","","planting of red, black, and white mangroves","","","","","","FDNR","","","","","","","","","","","","",NA,0.03,NA,27.64755,-82.71522,NA,"E-003","Estuarine","Maintenance","","","","","",""
NA,1974,"Region 4","FL","Tampa Bay Estuary Program","Fishhook Spoil","planting of red mangroves","","","planting of red mangroves","","","","","","FDNR","","","","","","","","","","","","",NA,0.02,NA,27.80267,-82.41917,NA,"E-004","Estuarine","Maintenance","","","","","",""
NA,1976,"Region 4","FL","Tampa Bay Estuary Program","Fishhook Spoil","planting of Spartina alterniflora","","","planting of Spartina alterniflora","","","","","","FDNR","","","","","","","","","","","","",NA,0.01,NA,27.80267,-82.41917,NA,"E-005","Estuarine","Maintenance","","","","","",""
NA,1978,"Region 4","FL","Tampa Bay Estuary Program","Alafia Bank Sunken Island Extension-Phase 1","planting of Spartina alterniflora","","","planting of Spartina alterniflora","","","","","","Audubon of Florida","","","","","","","","","","","","",NA,2,NA,27.84414,-82.41983,NA,"E-006","Estuarine","Maintenance","","","","","",""
NA,1979,"Region 4","FL","Tampa Bay Estuary Program","Alafia Bank Sunken Island Extension-Phase 2","planting of Spartina alterniflora","","","planting of Spartina alterniflora","","","","","","Audubon of Florida","","","","","","","","","","","","",NA,0.1,NA,27.84414,-82.41983,NA,"E-007","Estuarine","Maintenance","","","","","",""
NA,1979,"Region 4","FL","Tampa Bay Estuary Program","Alafia Bank Sunken Island Extension-Phase 3","planting of Spartina alterniflora","","","planting of Spartina alterniflora","","","","","","Audubon of Florida","","","","","","","","","","","","",NA,2,NA,27.84664,-82.41983,NA,"E-008","Estuarine","Maintenance","","","","","",""
NA,1979,"Region 4","FL","Tampa Bay Estuary Program","Palm River","planting of Spartina alterniflora, Paspalum","","","planting of Spartina alterniflora, Paspalum","","","","","","FDNR","","","","","","","","","","","","",NA,0.17,NA,27.94167,-82.40809,NA,"E-009","Estuarine","Maintenance","","","","","",""
NA,1979,"Region 4","FL","Tampa Bay Estuary Program","Palm River","planting of Spartina alterniflora, Paspalum","","","","","","0","planting of Spartina alterniflora, Paspalum","","FDNR","","","","","","","","","","","","",NA,NA,NA,27.9424,-82.4083,50,"LS-001","Estuarine","Maintenance","","","","","",""
